ip_src,ip_dst,prt_src,prt_dst,proto,num_pkts,mean_iat,std_iat,min_iat,max_iat,mean_offset,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,num_bytes,num_psh_flags,num_rst_flags,num_urg_flags
127.0.0.1,127.0.0.1,33194,1883,6,8,0.0035744053976876394,0.007780301125712486,3.981590270996094e-05,0.022613048553466797,0.020665781838553294,49.25,13.188536689109979,40.0,78.0,394,3,0,0
127.0.0.1,127.0.0.1,1883,33194,6,7,0.0041493574778238935,0.008312168580267927,4.1961669921875e-05,0.022716045379638672,0.024025638898213703,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33199,1883,6,8,0.002646582467215402,0.005316771684696631,4.696846008300781e-05,0.015634775161743164,0.01496992792401995,49.75,14.298164217828806,40.0,82.0,398,3,0,0
127.0.0.1,127.0.0.1,1883,33199,6,7,0.00306697686513265,0.005681122243589909,5.0067901611328125e-05,0.015735864639282227,0.017380555470784504,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33202,1883,6,8,0.002632992608206613,0.005378291438690332,3.790855407714844e-05,0.015781164169311523,0.014990636280604772,49.375,13.462331707397496,40.0,79.0,395,3,0,0
127.0.0.1,127.0.0.1,1883,33202,6,7,0.003050645192464193,0.0057491841276539795,3.886222839355469e-05,0.01588296890258789,0.01739223798116048,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33205,1883,6,8,0.0030773026602608816,0.006294249767643729,4.100799560546875e-05,0.01846909523010254,0.017443622861589705,49.25,13.188536689109979,40.0,78.0,394,3,0,0
127.0.0.1,127.0.0.1,1883,33205,6,7,0.0035698413848876953,0.006718126854297612,4.291534423828125e-05,0.018571138381958008,0.020266413688659668,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33208,1883,6,8,0.0032512801034109934,0.0064095563887032365,8.296966552734375e-05,0.01891303062438965,0.018240485872541155,48.75,12.121777922400657,40.0,74.0,390,3,0,0
127.0.0.1,127.0.0.1,1883,33208,6,7,0.0037653048833211264,0.006831318639629555,8.106231689453125e-05,0.019006967544555664,0.02118833859761556,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33211,1883,6,8,0.0030263151441301617,0.006362251912679861,4.601478576660156e-05,0.018594980239868164,0.01732325553894043,49.125,12.917405892825386,40.0,77.0,393,3,0,0
127.0.0.1,127.0.0.1,1883,33211,6,7,0.0035098393758138022,0.006791888101026201,4.410743713378906e-05,0.01868605613708496,0.02012487252553304,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33214,1883,6,8,0.003041131155831473,0.006464255698775997,3.886222839355469e-05,0.018857955932617188,0.017508813313075473,49.625,14.017288432503628,40.0,81.0,397,3,0,0
127.0.0.1,127.0.0.1,1883,33214,6,7,0.003531336784362793,0.006903754870194915,4.291534423828125e-05,0.018952131271362305,0.020348588625590008,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33217,1883,6,8,0.0032403128487723215,0.0059260753699044025,0.00010085105895996094,0.01764512062072754,0.01787311690194266,49.25,13.188536689109979,40.0,78.0,394,3,0,0
127.0.0.1,127.0.0.1,1883,33217,6,7,0.0037446419397989907,0.006350743692294667,7.200241088867188e-05,0.017834901809692383,0.02071555455525716,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33220,1883,6,8,0.0026437214442661832,0.00541410557292407,4.1961669921875e-05,0.015886783599853516,0.01504554067339216,49.125,12.917405892825386,40.0,77.0,393,3,0,0
127.0.0.1,127.0.0.1,1883,33220,6,7,0.0030666589736938477,0.005783422882972955,3.790855407714844e-05,0.01598381996154785,0.017468730608622234,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33223,1883,6,8,0.0028731482369559152,0.005983812615514087,6.699562072753906e-05,0.01751708984375,0.016382353646414622,48.75,12.121777922400657,40.0,74.0,390,3,0,0
127.0.0.1,127.0.0.1,1883,33223,6,7,0.0033321777979532876,0.006386222033944303,4.887580871582031e-05,0.017602920532226562,0.019030650456746418,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33226,1883,6,8,0.0029471261160714285,0.006287470102194005,3.790855407714844e-05,0.018336057662963867,0.01692329134259905,49.25,13.188536689109979,40.0,78.0,394,3,0,0
127.0.0.1,127.0.0.1,1883,33226,6,7,0.0034166574478149414,0.006721012204602858,3.886222839355469e-05,0.018435001373291016,0.01964592933654785,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33229,1883,6,8,0.0030828884669712613,0.006392263990913147,8.797645568847656e-05,0.018723011016845703,0.017551728657313755,49.75,14.298164217828806,40.0,82.0,398,3,0,0
127.0.0.1,127.0.0.1,1883,33229,6,7,0.003578821818033854,0.006821952843543385,9.894371032714844e-05,0.018817901611328125,0.020408908526102703,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33232,1883,6,8,0.0025993074689592633,0.0052604518851603835,4.982948303222656e-05,0.015463113784790039,0.014688117163521903,49.375,13.462331707397496,40.0,79.0,395,3,0,0
127.0.0.1,127.0.0.1,1883,33232,6,7,0.003011345863342285,0.005620654264808749,5.221366882324219e-05,0.015561103820800781,0.017043391863505047,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33235,1883,6,8,0.0032375880650111605,0.006821860800457628,4.601478576660156e-05,0.019927024841308594,0.01851616586957659,49.25,13.188536689109979,40.0,78.0,394,3,0,0
127.0.0.1,127.0.0.1,1883,33235,6,7,0.0037555297215779624,0.007283216125882524,4.100799560546875e-05,0.020022153854370117,0.021518945693969727,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33238,1883,6,8,0.0026968547276088168,0.005756437141746326,3.886222839355469e-05,0.01678180694580078,0.015582493373325892,48.75,12.121777922400657,40.0,74.0,390,3,0,0
127.0.0.1,127.0.0.1,1883,33238,6,7,0.003129164377848307,0.006155309637127643,4.1961669921875e-05,0.016878843307495117,0.0180966059366862,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33241,1883,6,8,0.003259829112461635,0.006774397207334431,4.38690185546875e-05,0.01983189582824707,0.018616880689348494,49.25,13.188536689109979,40.0,78.0,394,3,0,0
127.0.0.1,127.0.0.1,1883,33241,6,7,0.003780841827392578,0.00723313506607338,4.1961669921875e-05,0.019935131072998047,0.02161375681559245,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33244,1883,6,8,0.0025540079389299664,0.0050443042349156775,3.814697265625e-05,0.014878988265991211,0.014408179691859655,49.75,14.298164217828806,40.0,82.0,398,3,0,0
127.0.0.1,127.0.0.1,1883,33244,6,7,0.0029561519622802734,0.005390281301594342,3.910064697265625e-05,0.014979839324951172,0.01669641335805257,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33247,1883,6,8,0.002881288528442383,0.006019299885597277,3.790855407714844e-05,0.01761007308959961,0.016422407967703685,49.375,13.462331707397496,40.0,79.0,395,3,0,0
127.0.0.1,127.0.0.1,1883,33247,6,7,0.0033406813939412436,0.006429876542000951,3.981590270996094e-05,0.017707109451293945,0.019071539243062336,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33250,1883,6,8,0.0031939915248325895,0.006680322934703771,5.1021575927734375e-05,0.01953911781311035,0.018220492771693637,49.25,13.188536689109979,40.0,78.0,394,3,0,0
127.0.0.1,127.0.0.1,1883,33250,6,7,0.0037036736806233725,0.007146978402138694,4.9114227294921875e-05,0.019670963287353516,0.021175463994344074,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,33255,1883,6,8,0.002813577651977539,0.005933073397786346,8.678436279296875e-05,0.017333030700683594,0.016149384634835378,48.75,12.121777922400657,40.0,74.0,390,3,0,0
127.0.0.1,127.0.0.1,1883,33255,6,7,0.003262162208557129,0.006339268821539717,7.891654968261719e-05,0.017425060272216797,0.01876060167948405,42.285714285714285,4.199125273342591,40.0,52.0,296,1,0,0
127.0.0.1,127.0.0.1,64171,1883,17,1,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,28.0,28,0,0,0
127.0.0.1,127.0.0.1,50246,1883,6,2,0.00017690658569335938,0.0,0.00017690658569335938,0.00017690658569335938,0.00017690658569335938,42.0,2.0,40.0,44.0,84,0,1,0
127.0.0.1,127.0.0.1,1883,50246,6,1,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,44.0,44,0,0,0
127.0.0.1,127.0.0.1,36593,1883,6,2,0.0001678466796875,0.0,0.0001678466796875,0.0001678466796875,0.0001678466796875,42.0,2.0,40.0,44.0,84,0,1,0
127.0.0.1,127.0.0.1,1883,36593,6,1,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,44.0,44,0,0,0
127.0.0.1,127.0.0.1,54736,1883,6,5,1.7550012469291687,1.4795760821336394,0.00016307830810546875,4.001802921295166,2.7608930468559265,40.8,1.5999999999999999,40.0,44.0,204,0,4,0
127.0.0.1,127.0.0.1,1883,54736,6,4,2.3399339516957602,1.2450768381801312,1.0050017833709717,4.001780033111572,3.6809418201446533,44.0,0.0,44.0,44.0,176,0,0,0
127.0.0.1,127.0.0.1,33931,1883,6,2,0.00017213821411132812,0.0,0.00017213821411132812,0.00017213821411132812,0.00017213821411132812,42.0,2.0,40.0,44.0,84,0,1,0
127.0.0.1,127.0.0.1,1883,33931,6,1,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,44.0,44,0,0,0
127.0.0.1,127.0.0.1,60881,1883,17,1,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,28.0,28,0,0,0
127.0.0.1,127.0.0.1,50022,1883,6,2,0.00016880035400390625,0.0,0.00016880035400390625,0.00016880035400390625,0.00016880035400390625,42.0,2.0,40.0,44.0,84,0,1,0
127.0.0.1,127.0.0.1,1883,50022,6,1,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,44.0,44,0,0,0
127.0.0.1,127.0.0.1,50267,1883,6,2,0.0001690387725830078,0.0,0.0001690387725830078,0.0001690387725830078,0.0001690387725830078,42.0,2.0,40.0,44.0,84,0,1,0
127.0.0.1,127.0.0.1,1883,50267,6,1,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,44.0,44,0,0,0
